"","Molecule.Name","BMIS","deltaCV","BMIS_used","Final.BMIS.Norm.Peak"
"1","B1","B1","21.5986801339219","B1","3.41461475484245"
"2","B12-Ado","B12-CN","8.08028752609064","B12-CN","0.0170452988472356"
"3","B12-CN","B12-CN","9.05736191662706","B12-CN","0.0578455088304723"
"4","B12-Me","B7","3.73496725634668","B7","0.00466704502256721"
"5","B12-OH","B12-CN","9.62455895805104","B12-CN","2.26387955366803"
"6","B2","B2","3.46688921109326","B2","0.0431408921641853"
"7","B3","B1","22.3028344191599","none","191178.625"
"8","B5","B12-CN","10.6176169831477","none","15397960.75"
"9","B6","B12-CN","8.5678610112256","none","30439.875"
"10","B7","B2","1.21796343863629","none","25892.125"
"11","B9","B12-CN","8.05413714734544","none","12444.75"
"12","DMB","B12-CN","8.84834722705198","none","24204.125"
"13","DMSP","B1","27.3910571903668","none","585117.25"
"14","FAMP","B12-CN","7.0915342203187","none","50469.375"
"15","GBT","B1","40.9051926797637","B1","49.633713858077"
"16","Glutathione","B12-CN","1.613974626546","none","23928"
"17","HET","B1","16.0236820628425","none","10778"
"18","HMP","B12-CN","6.88460428755094","none","265722.5"
"19","Homarine","B1","33.7631159456552","B1","527.140694276264"
"20","IAA","B7","3.75653633507312","none","44581.375"
"21","Methionine","B1","36.9933540027733","B1","6.17503728986781"
"22","Proline","B1","41.7521508791619","B1","304.79591563746"
"23","SAH","B1","19.8298431054555","none","7600.25"
"24","SAM","B1","17.2482696757919","none","14207.75"
"25","TMP","B7","-2.03165046433976","none","853.375"
"26","cHET","B12-CN","9.94905447195756","none","658843.75"
