"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded"
"1","06",1947,"B12-Ado","B12-CN",0.00956709743992924,6,"+",39700,1.17269e-08,1,0.00046555793
"2","06",2229,"B12-Ado","B12-CN",0.0110475605162467,6,"+",39700,1.17269e-08,1,0.00046555793
"3","06",4620,"B12-Ado","B12-CN",0.0248184279513516,6,"+",39700,1.17269e-08,1,0.00046555793
"4","15",299,"B12-Ado","B12-CN",0.00361871565850943,6,"-",39900,1.05261e-08,1,0.00041999139
"5","15",224,"B12-Ado","B12-CN",0.00270087778528022,6,"-",39900,1.05261e-08,1,0.00041999139
"6","15",990,"B12-Ado","B12-CN",0.0124296906388108,6,"-",39900,1.05261e-08,1,0.00041999139
"7","16",591,"B12-Ado","B12-CN",0.00691713483146067,6,"-",39500,1.34888e-08,1,0.0005328076
"8","16",1710,"B12-Ado","B12-CN",0.0195301346551389,6,"-",39500,1.34888e-08,1,0.0005328076
"9","16",947,"B12-Ado","B12-CN",0.0101849860184986,6,"-",39500,1.34888e-08,1,0.0005328076
"10","24",624,"B12-Ado","B12-CN",0.00739906325961938,6,"+",40200,1.17269e-08,1,0.00047142138
"11","24",594,"B12-Ado","B12-CN",0.00744230335530107,6,"+",40200,1.17269e-08,1,0.00047142138
"12","24",1413,"B12-Ado","B12-CN",0.0195101071468022,6,"+",40200,1.17269e-08,1,0.00047142138
"13","27",58,"B12-Ado","B12-CN",0.000630325160841593,6,"-",41500,1.01239e-08,1,0.00042014185
"14","27",231,"B12-Ado","B12-CN",0.00258951191623882,6,"-",41500,1.01239e-08,1,0.00042014185
"15","27",522,"B12-Ado","B12-CN",0.00588003379329766,6,"-",41500,1.01239e-08,1,0.00042014185
"16","28",2021,"B12-Ado","B12-CN",0.0267126637323711,6,"+",47400,1.08017e-08,1,0.00051200058
"17","28",824,"B12-Ado","B12-CN",0.0149619595809199,6,"+",47400,1.08017e-08,1,0.00051200058
"18","28",1106,"B12-Ado","B12-CN",0.0143530114071402,6,"+",47400,1.08017e-08,1,0.00051200058
"19","06",3917,"B12-CN","B12-CN",0.0192472114392413,6,"+",39700,1.17269e-08,1,0.00046555793
"20","06",3124,"B12-CN","B12-CN",0.015483436093654,6,"+",39700,1.17269e-08,1,0.00046555793
"21","06",3231,"B12-CN","B12-CN",0.01735678370364,6,"+",39700,1.17269e-08,1,0.00046555793
"22","15",682,"B12-CN","B12-CN",0.00825406046522886,6,"-",39900,1.05261e-08,1,0.00041999139
"23","15",330,"B12-CN","B12-CN",0.00397897173724318,6,"-",39900,1.05261e-08,1,0.00041999139
"24","15",1161,"B12-CN","B12-CN",0.0145766372036963,6,"-",39900,1.05261e-08,1,0.00041999139
"25","16",934,"B12-CN","B12-CN",0.0109316479400749,6,"-",39500,1.34888e-08,1,0.0005328076
"26","16",287,"B12-CN","B12-CN",0.0032778647052777,6,"-",39500,1.34888e-08,1,0.0005328076
"27","16",1480,"B12-CN","B12-CN",0.0159174015917402,6,"-",39500,1.34888e-08,1,0.0005328076
"28","24",3702,"B12-CN","B12-CN",0.0438963656844726,6,"+",40200,1.17269e-08,1,0.00047142138
"29","24",3221,"B12-CN","B12-CN",0.040356328463678,6,"+",40200,1.17269e-08,1,0.00047142138
"30","24",4738,"B12-CN","B12-CN",0.065420302662101,6,"+",40200,1.17269e-08,1,0.00047142138
"31","27",397,"B12-CN","B12-CN",0.00431446704920883,6,"-",41500,1.01239e-08,1,0.00042014185
"32","27",490,"B12-CN","B12-CN",0.00549290406474901,6,"-",41500,1.01239e-08,1,0.00042014185
"33","27",665,"B12-CN","B12-CN",0.0074908476485497,6,"-",41500,1.01239e-08,1,0.00042014185
