"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded","Below_LOD","Below_LOQ","normtype","normunits","est_fmol_on_column","fmol_cell","fmol_mgC","peak_cell"
"1","06",145019,"B1","B1",2.14610865286431,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE,"BMIS_cell","fmol_cell",113.958170172303,0.00287048287587665,244777.637387259,5.4058152465096e-05
"2","06",156898,"B1","B1",2.14690548843065,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE,"BMIS_cell","fmol_cell",114.000482066879,0.002871548666672,244868.52166148,5.40782238899407e-05
"3","06",142711,"B1","B1",2.00403021962591,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE,"BMIS_cell","fmol_cell",106.41381856122,0.00268044883025743,228572.668843209,5.04793506202999e-05
"4","15",82620,"B1","B1",2.54544334216526,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE,"BMIS_cell","fmol_cell",135.162805090635,0.00338753897470263,321822.79996415,6.37955724853449e-05
"5","15",90722,"B1","B1",2.5318709533378,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE,"BMIS_cell","fmol_cell",134.442112504274,0.00336947650386652,320106.830057335,6.34554123643559e-05
"6","15",116360,"B1","B1",3.78258890839347,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE,"BMIS_cell","fmol_cell",200.855119771899,0.00503396290155134,478236.279491107,9.48017270274053e-05
"7","16",206597,"B1","B1",5.73148199522832,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE,"BMIS_cell","fmol_cell",304.341161702131,0.0077048395367628,571202.741293725,0.00014510081000578
"8","16",174857,"B1","B1",4.80059850647924,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE,"BMIS_cell","fmol_cell",254.911334894494,0.0064534515163163,478430.365660125,0.000121534139404538
"9","16",207557,"B1","B1",8.03612358680502,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE,"BMIS_cell","fmol_cell",426.717416198165,0.0108029725619789,800884.627393012,0.000203446166754557
"10","24",144166,"B1","B1",3.42404522135664,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE,"BMIS_cell","fmol_cell",181.816483285803,0.00452279809168664,385677.21151256,8.5175254262603e-05
"11","24",147365,"B1","B1",3.6577889197776,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE,"BMIS_cell","fmol_cell",194.228251965738,0.00483154855636164,412005.60730983,9.09897741238209e-05
