"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded","Below_LOD","Below_LOQ"
"Proline_df.1","06",16010408,"Proline","B1",236.934988826898,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"Proline_df.2","06",16019023,"Proline","B1",219.195454358862,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"Proline_df.3","06",17462698,"Proline","B1",245.221282929843,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"Proline_df.4","15",17982558,"Proline","B1",554.025448271613,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"Proline_df.5","15",15753014,"Proline","B1",439.635353873632,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"Proline_df.6","15",17439968,"Proline","B1",566.93218906443,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"Proline_df.7","16",44849124,"Proline","B1",1244.21916440104,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"Proline_df.8","16",43234872,"Proline","B1",1186.98857895893,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"Proline_df.9","16",31274740,"Proline","B1",1210.88508595323,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"Proline_df.10","24",19311902,"Proline","B1",458.671432642979,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"Proline_df.11","24",23274362,"Proline","B1",577.699612787927,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"Proline_df.12","24",19600672,"Proline","B1",473.343282861214,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"Proline_df.13","27",26839850,"Proline","B1",616.85206039852,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"Proline_df.14","27",27071626,"Proline","B1",546.008067606543,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"Proline_df.15","27",27147116,"Proline","B1",608.079831556312,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"Proline_df.16","28",15999569,"Proline","B1",628.839720158786,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"Proline_df.17","28",17089442,"Proline","B1",705.41740279039,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"Proline_df.18","28",18726236,"Proline","B1",718.19575055611,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"GBT_df.1","06",2511938,"GBT","B1",37.1736936350317,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"GBT_df.2","06",3067862,"GBT","B1",41.9789274914136,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"GBT_df.3","06",2862916,"GBT","B1",40.2027186429253,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
