"","Molecule.Name","molecule_LOD","molecule_LOQ","reccomended_norm","Cal_done"
"1","B1",FALSE,FALSE,"abs quant","Y"
"2","B12-Ado",FALSE,TRUE,"rel quant","Y"
"3","B12-CN",TRUE,TRUE,"no quant","Y"
"4","B12-Me",FALSE,FALSE,"abs quant","Y"
"5","B12-OH",FALSE,FALSE,"abs quant","Y"
"6","B7",FALSE,FALSE,"abs quant","Y"
"7","DMSP",FALSE,FALSE,"abs quant","Y"
"8","FAMP",TRUE,TRUE,"no quant","Y"
"9","GBT",FALSE,FALSE,"abs quant","Y"
"10","HET",TRUE,TRUE,"no quant","Y"
"11","HMP",FALSE,TRUE,"rel quant","Y"
"12","Homarine",FALSE,FALSE,"abs quant","Y"
"13","Methionine",TRUE,TRUE,"no quant","Y"
"14","Proline",FALSE,FALSE,"abs quant","Y"
"15","SAH",FALSE,FALSE,"abs quant","Y"
"16","SAM",FALSE,FALSE,"abs quant","Y"
"17","TMP",TRUE,TRUE,"no quant","Y"
"18","cHET",FALSE,FALSE,"abs quant","Y"
