"","rsq","norm"
"B1",0.898801179501387,"Y"
"B12.Ado",0.869944501299842,"Y"
"B12.CN",0.998985847618446,"Y"
"B12.Me",0.859082583760709,"Y"
"B12.OH",0.996416778941422,"Y"
"B7",0.994387235440122,"Y"
"cHET",0.994039934882358,"Y"
"DMB",0.988571970580532,"Y"
"DMSP",0.120105533940363,"N"
"FAMP",0.99727095995537,"Y"
"GBT",0.0275485467631915,"N"
"HET",0.99900424620388,"Y"
"HMP",0.928451365449479,"Y"
"Homarine",0.0145717624930595,"N"
"Methionine",0.023447529979226,"N"
"Proline",0.0386198682854229,"N"
"SAH",0.943945069382983,"Y"
"SAM",0.721101248582638,"Y"
"TMP",0.981987444074579,"Y"
