Replicate.Name,Molecule.List.Name,Molecule.Name,Precursor.Mz,Total Area
ER3_149_2fdQC_08,molecules1,Proline,116.2,9350094
ER3_149_2fdQC_09,molecules1,Proline,116.2,19757556
ER3_149_2fdQC_44,molecules1,Proline,116.2,6802182
2fdQC_79,molecules1,Proline,116.2,4210868
2fdQC_114,molecules1,Proline,116.2,5190080
2fdQC_142,molecules1,Proline,116.2,3909234
01_12,molecules1,Proline,116.2,13447789
01_13,molecules1,Proline,116.2,20945892
01_14,molecules1,Proline,116.2,10350579
02_16,molecules1,Proline,116.2,16705735
02_17,molecules1,Proline,116.2,11045720
02_18,molecules1,Proline,116.2,22888978
03_20,molecules1,Proline,116.2,28282728
03_21,molecules1,Proline,116.2,27326820
03_22,molecules1,Proline,116.2,27618930
04_24,molecules1,Proline,116.2,7016961
04_25,molecules1,Proline,116.2,16676215
04_26,molecules1,Proline,116.2,7596978
05_28,molecules1,Proline,116.2,10840116
05_29,molecules1,Proline,116.2,12284840
05_30,molecules1,Proline,116.2,27832770
06_32,molecules1,Proline,116.2,16010408
06_33,molecules1,Proline,116.2,16019023
06_34,molecules1,Proline,116.2,17462698
07_36,molecules1,Proline,116.2,3728225
07_37,molecules1,Proline,116.2,3931823
07_38,molecules1,Proline,116.2,3207353
08_40,molecules1,Proline,116.2,4928324
08_41,molecules1,Proline,116.2,6136592
08_42,molecules1,Proline,116.2,6789138
09_47,molecules1,Proline,116.2,8346288
09_48,molecules1,Proline,116.2,7821304
09_49,molecules1,Proline,116.2,7074049
10_51,molecules1,Proline,116.2,6950440
10_52,molecules1,Proline,116.2,7957300
10_53,molecules1,Proline,116.2,22398312
11_55,molecules1,Proline,116.2,47534204
11_56,molecules1,Proline,116.2,46210676
11_57,molecules1,Proline,116.2,52252648
12_59,molecules1,Proline,116.2,62721612
12_60,molecules1,Proline,116.2,77033616
12_61,molecules1,Proline,116.2,57054160
13_63,molecules1,Proline,116.2,8102154
13_64,molecules1,Proline,116.2,7931972
13_65,molecules1,Proline,116.2,6295168
14_67,molecules1,Proline,116.2,6285134
14_68,molecules1,Proline,116.2,5593444
14_69,molecules1,Proline,116.2,6553730
15_71,molecules1,Proline,116.2,17982558
15_72,molecules1,Proline,116.2,15753014
15_73,molecules1,Proline,116.2,17439968
16_75,molecules1,Proline,116.2,44849124
16_76,molecules1,Proline,116.2,43234872
16_77,molecules1,Proline,116.2,31274740
17_82,molecules1,Proline,116.2,18891146
17_83,molecules1,Proline,116.2,32674946
17_84,molecules1,Proline,116.2,26882174
18_86,molecules1,Proline,116.2,2425916
18_87,molecules1,Proline,116.2,2438530
18_88,molecules1,Proline,116.2,2236386
19_90,molecules1,Proline,116.2,4107427
19_91,molecules1,Proline,116.2,4177542
19_92,molecules1,Proline,116.2,3507493
20_94,molecules1,Proline,116.2,4325109
20_95,molecules1,Proline,116.2,2708440
20_96,molecules1,Proline,116.2,2854493
21_100,molecules1,Proline,116.2,23646196
21_98,molecules1,Proline,116.2,26344196
21_99,molecules1,Proline,116.2,27377214
22_102,molecules1,Proline,116.2,3041293
22_103,molecules1,Proline,116.2,2390407
22_104,molecules1,Proline,116.2,2819228
23_106,molecules1,Proline,116.2,4822925
23_107,molecules1,Proline,116.2,4282619
23_108,molecules1,Proline,116.2,4217152
24_110,molecules1,Proline,116.2,19311902
24_111,molecules1,Proline,116.2,23274362
24_112,molecules1,Proline,116.2,19600672
25_117,molecules1,Proline,116.2,46496108
25_118,molecules1,Proline,116.2,49572072
25_119,molecules1,Proline,116.2,107918464
26_121,molecules1,Proline,116.2,2856355
26_122,molecules1,Proline,116.2,2463899
26_123,molecules1,Proline,116.2,11397507
27_125,molecules1,Proline,116.2,26839850
27_126,molecules1,Proline,116.2,27071626
27_127,molecules1,Proline,116.2,27147116
28_129,molecules1,Proline,116.2,15999569
28_130,molecules1,Proline,116.2,17089442
28_131,molecules1,Proline,116.2,18726236
29_133,molecules1,Proline,116.2,3792363
29_134,molecules1,Proline,116.2,4797448
29_135,molecules1,Proline,116.2,4704247
30_137,molecules1,Proline,116.2,3034054
30_138,molecules1,Proline,116.2,3607998
30_139,molecules1,Proline,116.2,3557146
ER3_149_2fdQC_08,molecules1,GBT,118.4,1439047
ER3_149_2fdQC_09,molecules1,GBT,118.4,2858954
ER3_149_2fdQC_44,molecules1,GBT,118.4,1033514
2fdQC_79,molecules1,GBT,118.4,873434
2fdQC_114,molecules1,GBT,118.4,758627
2fdQC_142,molecules1,GBT,118.4,626363
01_12,molecules1,GBT,118.4,1215815
01_13,molecules1,GBT,118.4,1785434
01_14,molecules1,GBT,118.4,967800
02_16,molecules1,GBT,118.4,2139296
02_17,molecules1,GBT,118.4,1350709
02_18,molecules1,GBT,118.4,2331313
03_20,molecules1,GBT,118.4,1144838
03_21,molecules1,GBT,118.4,981562
03_22,molecules1,GBT,118.4,1048022
04_24,molecules1,GBT,118.4,1737267
04_25,molecules1,GBT,118.4,3492370
04_26,molecules1,GBT,118.4,1865750
05_28,molecules1,GBT,118.4,1476910
05_29,molecules1,GBT,118.4,1565843
05_30,molecules1,GBT,118.4,3520232
