Replicate.Name,Molecule.List.Name,Molecule.Name,Experiment,Phase,Treatment,Bioreplicate,fmol.oncolumn,fmol per sample,nmol,molecules.per.cell,molecules.per.cell.bio.rep,nmol cobalamin per bio rep,mol carbon per sample,nmole cobalamin analog per mol carbon,LOD.fmol.column,LOQ.fmol.column,QC (LOD),QC (LOQ)
20230120_ER4_124_01_87,Cobalamin,B12-Ado,Deplete,Particulate,-,A,0.03529262,1.411704781,1.41E-06,1.824196624,1.158737142,8.97E-07,1.24E-06,1,0.507156306,1.69052102,<LOD,<LOQ
20230120_ER4_124_01_88,Cobalamin,B12-Ado,Deplete,Particulate,-,A,0.009543412,0.381736497,3.82E-07,0.493277659,,,,,0.507156306,1.69052102,<LOD,<LOQ
20230120_ER4_124_02_90,Cobalamin,B12-Ado,Deplete,Particulate,-,B,0.005987141,0.239485633,2.39E-07,0.305243897,0.152621949,1.20E-07,1.26E-06,0,0.507156306,1.69052102,<LOD,<LOQ
20230120_ER4_124_02_91,Cobalamin,B12-Ado,Deplete,Particulate,-,B,0,0,0,0,,,,,0.507156306,1.69052102,<LOD,<LOQ
20230120_ER4_124_03_93,Cobalamin,B12-Ado,Deplete,Particulate,-,C,0.003331191,0.133247645,1.33E-07,0.174260809,0.616977459,4.72E-07,1.23E-06,0,0.507156306,1.69052102,<LOD,<LOQ
20230120_ER4_124_03_94,Cobalamin,B12-Ado,Deplete,Particulate,-,C,0.020257243,0.810289734,8.10E-07,1.059694109,,,,,0.507156306,1.69052102,<LOD,<LOQ
20230120_ER4_124_04_96,Cobalamin,B12-Ado,Deplete,Particulate,+,A,1.542521557,61.70086228,6.17E-05,76.32622393,80.09843138,6.48E-05,1.30E-06,50,0.507156306,1.69052102, ,<LOQ
20230120_ER4_124_04_97,Cobalamin,B12-Ado,Deplete,Particulate,+,A,1.694991075,67.79964302,6.78E-05,83.87063882,,,,,0.507156306,1.69052102, , 
20230120_ER4_124_05_100,Cobalamin,B12-Ado,Deplete,Particulate,+,B,1.442135662,57.68542649,5.77E-05,74.19688185,65.45612045,5.09E-05,1.25E-06,41,0.507156306,1.69052102, ,<LOQ
20230120_ER4_124_05_99,Cobalamin,B12-Ado,Deplete,Particulate,+,B,1.102354167,44.09416668,4.41E-05,56.71535906,,,,,0.507156306,1.69052102, ,<LOQ
